class,description,numbers
API,карта коллега партнёр прийти запрос разработка дополнительный модь карта сайт департамент новгород предыстория изначально сайт использоваться скриншот карта предложить использовать апи ноябрь использовать вложение запрос насколько понимать создавать модь библиотека партнёр ответить,32
CRM отдел,возникнуть проблема перевод контракт статус одобрить заполнить дать заполнить скриншот прикрепить,11
Группа корректуры РМ,блокировать коллега провести модерация следующий компания достык фаворит костанай тоо автоломбард майами уважение пиленко продажа тоо справочник костанай костанай би офис,21
API,заявка партнёр компания страна город ресурс использоваться реклама сайт компания странтчка продублировать ссылка сайт количество уникальный пользователь представитель григориевич должность генеральный телефон обработать заявка перейти ссылка апи,28
Группа Digital,заявка модерация текстовый реклама документ необходимый лпр рд отпуск поэтому возникать сложность документ дело рд договорённость бюджетный устный подкрепить документально скорее знакомый ситуация регион целое схожий ликвидация очередь модернизация здравоохранение введение электронный запись ограниченность зачастую пациент попасть приём идти медосмотр ребёнок идти детский создавать дополнительный очередь помимо пациент нуждаться экстренный вмешательство челюстный лицевой хирургия поэтому работать входить перечень омс дмс территориальный фомс рб возмущение пациент недовольный ограниченность очередь руководитель бюджетный перенаправлять рд ответственность размещение дать позиция рд брать,78
Телекомунникация и связь,проходить коллега номер начинать дозвониться грузия прошлый проходить проблема посмотреть дело руководитель отдел развитие,14
Личный Кабинет,проблема личный кабинет коллега фирма газовый встраивать техника лк заметить проблема длиться некоторый недоступный продление восстановить корректный лк скрин прикладывать менеджер развитие партнёрский отношение,24
Atlassian,конфлюенс фр организовать ответственный ответственный приходить уведомление открывать список таск жать ор идеально открываться стран создать указать фокусировка нибыть открываться стран создать конфлюенс,23
Fiji,обновляться тайла чилийский тс доступный тс проблема решать срок решение час группа эксплуатация сервис производство,15
Поддержка по отзывам,отзыв удалить отзыв клиент понимать причина лайф автосервис реальный клиент положительный отзыв информация добавление поступить продукт появиться письмо пояснение специалист реклама тело,22
API,вопрос клиент апи тестировать апи интерфейс сайт апи указывать указывать локаля поисковый электрозаводский дополнительный увидеть запрос апи простота вернуть приходить ответ апи ещ указать обязательный порядок запрос получать информация здание компания правильно понимать сразу за ограничение количество запрос,38
Телекомунникация и связь,коллега являться сотрудник центр поступать внешний изменение информация справочный характер клиент говорить нажимать цифра соединение возможно помочь решение проблема администратор,20
Группа корректуры РМ,заявка модерация текстовый реклама лицензия,5
Fiji,подвисание проблема длинный происходить подвисание программа проблема,7
Личный Кабинет,запрос поддержка лк клиент рекламный агенство гимаз коммерческий,8
Export buildman,стартовать сборка задача встать очередь стартовать пройти минута запуск уважение пользователь франчайзи бц,13
Поддержка по отзывам,метро адмиралтейский отель коллега обратиться компания поступить отдел коммерция спб удалить отзыв писать официальный ответ жаловаться отзыв утверждать отзыв оставить неправомерно очернение репутация дать комментарий действие хватать удаление отзыв последний отзыв пользователь,32
Телекомунникация и связь,набор номер набор мобильный номер инфораша провайдер получать хх ххх хх хх обрабатываться некорректно мобильный междугородний номер принять ставить номер добавить номер корректный обработка номер по провайдер создать номер добавить ноль смочь добавить ответить попробовать по провайдер,37
CRM отдел,отчёт ппс битаналитикс выгружаться компания например фирма территория спорт продажа прокат сервис спортивный инвентарь экировка строиться жилой комплекс развитие,19
Fiji,проблема вчера работать специалист сбор информация нижегородский,7
Fiji,пропадать тайла здрайствовать пропадать тайла обновляюся,6
Fiji,редактирование объект выходить редактирование объект высвечиваться отображаться атрибутивный информация объект,10
Поддержка по отзывам,отзыв компания переехать оставить негативный отзыв вложение прикрепить приём передача здание скинуть маркетолог компания отзыв ухудшать рекламный положение решить вопрос удалить отзыв часть,23
CRM отдел,перевести фирма перевести фирма инструмент оптовый компания продажа инструмент подлить карточка клиент роскомплектация зацепка создавать скрин прикрепить,17
Группа корректуры РМ,заявка модерация графический реклама сборка рекламный материал логот карта ожидать модерация блокировать,12
Группа Digital,дидижитал рассчитать рубрика обучение танец возможность клиент ждать,8
Atlassian,джир доска использовать работать ребята ожидать проблема доска использовать работать вестись восстановление работоспособность приносить извинение доставить неудобство давать процесс понимать проблема следствие джир добавить обязательный тестирование копия инстанс накатывать,29
Группа корректуры РМ,заявка модерация текстовый реклама одобрить фоновый изображение брендирование карточка компания,10
Fiji,установка связь получить письмо текст письмо привести заметить установка начинать лагать далее ргаться построение объект писать коллега планироваться релиз инфораша корректный потребоваться связь одобрить количество число самый необходимо проверить компьютер установить город получать необходимо вручную установить минимум связанный обновить корректный инфораша невозможный возникнуть вопрос писать ответить управление региональный тело,49
Группа Digital,комплексстрой торговый производственный компания рекламироваться прошлый посчитать стоимость направление отдельно навес козырёк столб профнастил руберойт стеклоизол линокром наплавлять кровля посчитать стоимость случай рекламировать,23
CRM отдел,запрос пересборка коллега перенести текущие июль одобрить пивотёк,8
Группа Digital,социальный отрасль контакт общаться актуальный отрасль посмотреть сайт платформа профессионал отрасль присоединяться расширить контакт обмениваться информация делиться мнение эксперт одробный заманчивый бесплатно интересный проект публиковать проект делиться реализация искать единомышленник помочь развитие бизнес стран компания добавлять интернет страничка компания повысить узнаваемость бренд привлечь клиент партнёр присоединяться сайт обратный связь отписаться рассылка апи кап инфо проезд тело право защитить конфиденциальность получить рассылка находиться рассылка отписаться нажать,65
IR,удалить пользователь отчёт инфораша необходимо удалить срк исавчук отчёт срк кц рк ивасиить заранее ивасиить клиент пл сити,18
API,вопрос клиент апи посмотреть доступ необходимо добавить влиять браузер делать запрос апи садовнический ответ получать апи,16
API,перенос отзыв сайт коллега клиент задавать вопрос сайт отзыв занимаеться сайт запрашивать апи дать получить,15
Личный Кабинет,убрать доступ личный кабинет коллега необходимо убрать длоступа личный кабинет дать компания пользователь,13
Поддержка по отзывам,отзыв коллега помочь клиент негативный отзыв клиент поступить отзыв пковский светланка клиент пожаловаться отзыв обратный связь получить рассмотреть поработать отзыв дать ответ лк менеджер группа продажа,26
Телекомунникация и связь,проблема приём входящий вызов номер телефон входящий вызов получать дозваниваться настройка проблема,12
CRM отдел,лицо технически поменять лицо действовать делать расторжение получаться больший скидка сделать текущий платёж клиент текущий лицо изменить общество ограниченный ответственность диск,21
Atlassian,отп запрос доступ доступ чтение заявка дивизиональный управлять продукт обратный адрес продукт четверг отп запрос доступ ответить выше прокомментировать согласовать предоставление доступ чтение изменение просмотреть обращение отключить уведомление обращение юриевич справочный платформа джир джир прислать сообщение,36
API,модерация апи добавить кнопка расширить профиль соответствие апи расширить ссылка дать предоставить фраза ссылка вроде вс сделать сайт готовый модерация сайт сударёк,22
Группа корректуры РМ,реклама кальять запретить дать комментарий размещение паровой коктейль региональный нарушать реклама рф клиент отказывать основание снять реклама кальянна размещение снять прецедент риск штрафной санкция фас,25
Поддержка товаров,вопрос товар клиент спрашивать откуда взяться товар вводить насколько актуальный обновляться,11
Fiji,сборкедля пройти проверка данные блокировать звено ссылаться несуществующий пространственный объект блокировать,11
IR,проброс карточка инфораша идти задержка отображаться создать карточка исправить руководитель контент группа,12
IR,поиск инфораша перестать работать поиск инфораша версия инфораша последний заходить загружаться отлично скриншот прилагать составление запрос выводиться никакой данные оператор выводиться возможно связать менять учётный запись совпадение учётный запись вход портал клиент производство океанский проспект офис бц капитал,38
Fiji,прогружаться карта отдаление отдаление карта начинать масштаб выше появляться ужасно надпись загрузка масштаб работать невозможно,15
Поддержка по отзывам,панорама компания производство окно дверь публикация официальный ответ компания уточнять вопрос автор отзыв отзыв качественный оконный течение ответить уточнять вопрос компания идентификация случай удалить отзыв соответствовать действительность ведущий специалист продажа,30
CRM отдел,перевод фирма отп коллега перевести основание санитар резьтативный,8
Поддержка по отзывам,удалить положительный отзыв удалить положительный отзыв скрин вложение писать реальный проводить сделка агенство муж,14
Личный Кабинет,доступ лк автогенератор клиент восстановить доступ лк писать забыть приходить запрашивать уважение кимосова номер,14
Группа корректуры РМ,одобрить позиция скидка аккумятор рф аккумяторный компания,7
Группа корректуры РМ,заявка модерация рм продлить мкб квартирный бюро город предыдущий заказ позиция,11
Поддержка по отзывам,отзыв компания натяжной потолок компания получить негативный отзыв ответ оперативно за контактный информация клиент дальнейший разрешение проблема контактный информация клиент получить вопрос данный отзыв сей удалённый клиент предоставить контактный дать клиент предоставить контактный дать передать компания,36
API,вопрос клиент апи клиент тестировать задаваться вопрос город запрос апи запрос апи,12
Export buildman,зависнуть запуск запуск мобилка зависнуть статус задача поставить очередь перезапускать билдман перезапускать локальный сервис экспорт пробовать стартовать сборка стартовать сборка собираться екатеринбургский,22
Atlassian,скр бейскампа ребята департамент марктеинг активно использовать бейскамп задача порядок спейс региональный маркетолог проблема пользователь бкампка работать уведомлять проверять периодически че попасть удобно съедать сделать скрт расширение браузер бк нажатие ходить список пользователь бк сравнивать мейл находить учётный запись сообщать находить мейл сообщать казаться сложный плюс попробовать делать вроде список память искать добавиться прошлое проверка отслеживать пользователь бк заполнить дать задача предварительно обсуждать маркетинг регион,65
API,вопрос использование апи карта следующий использование апи карта размещать сайт получить конструктор виджет неизменный прописать код согласно руководство случай необходимо использовать доступ апи карта,24
Личный Кабинет,добавить город адрес клиент открыться добавить город адрес лк лк,10
IR,инфораша возникнуть инфораша прринтскрин вложение заместитель клиент,7
CRM отдел,сменить куратор сменить куратор фирма варикоз,6
Fiji,переместить здание работать инструмент редактирование переместить указать скрин,8
Atlassian,коллега возможность присылать скриншот специалист сбор информация,7
IR,проверка проверка наличие фирма проверка блокировать водоприбор лтд торговый производственный компания фирма водоприбор лтд торговый производственный компания отсутствовать блокировать интер производственный монтажный компания фирма интер производственный монтажный компания отсутствовать блокировать администратор учёт адрес инфораша,34
Группа корректуры РМ,заявка модерация текстовый реклама необходимый срочный модерация логот фоновый изображение связь клиент крайне недовольный увидеть логот,16
Телекомунникация и связь,настройка переадресация телефон настроить переадресация номер учёткий,7
Поддержка товаров,товар компания клиент подготовить файл формат загрузить посмотреть проблема,9
API,заявка партнёр компания зао акадо страна город ресурс использоваться форма заявка подключение сайт компания количество уникальный пользователь представитель чариева ахмеджанович должность начальник отдел маркетинг телефон обработать заявка перейти ссылка апи,31
Fiji,проблема медленно прогружаться вообще зависнуть,5
Atlassian,уведомление джир лететь уведомление любой тикета проект переводить статус решить отключить фича получать уведомление тикета отношение руководитель отдел сопровождение тело,20
Поддержка товаров,вопрос каталог компания нерд прийти запрос фирма хлеб пекарный сообщение ведомо подключить товар справочник сумасшедший цена отключить автоматический добавление товар фирма,21
Поддержка товаров,поиск рд рд торговый компания вкладка товар рекламироваться торговать дело,10
CRM отдел,вывеска перевести куратор компания дарчик продажа,6
Поддержка товаров,витрина раздел товар клиент аптека клиент раздел товар витрина личный кабинет загружать лекарство клиент,14
Atlassian,доступ редактирование сделать доступ редактирование стран ведущий специалист ценообразование,9
Поддержка товаров,удалить товар карточка компания удалить товар карточка компания дискаунтер запрос название товар записать некорректно нравиться формат,16
CRM отдел,запрос поддержка произвести слияние клиент ттк дв зао транстелек дв ттк неполадка,12
CRM отдел,перенести оплата коллега перенести оплата оплата перенести оплата перенести оплата семёнов оплата,12
Личный Кабинет,лк стоматология необходимо предоставить ссылка доступ лк клиент продублировать случай ссылка клиент дойти заранее менеджер клиентский сервис,17
Личный Кабинет,скидка обращаться вопрос скидка лк региональный менеджер,7
CRM отдел,клиент кафе связь работать размещение основный пакет заканчиваться работать дать бесплатный акция например,13
Atlassian,джир возможность выставление обнаружить проставить релизный версия задача джир проект дать проблема затруднять подготовка выпуск релиз команда помочь решение рассказ специалист тестирование команда,23
Телекомунникация и связь,проблема номер ребята шашель заретрировать номер астериск дубай попытка заканчиваться таймаут номер проходить казаться добавить маршрут работать подключиться плиз посмотреть хотеться решить проблема обед ещ должный ованивать дубай трассировка показывать пакет ходить,32
Fiji,проект проблема запускаться выходить сообщение запуск приложение возможный обратиться поставщик приложение,11
API,заявка партнёр компания страна город ресурс использоваться сайт разработка список адрес использовать геокодинга адрес показывать карта страничка геокодинга апи вручную реально огромный список делать виджет добавлять возможность хранить карта размещать динамически поиск адрес использовать геокодинга количество уникальный пользователь представитель мирсоновый должность генеральный телефон обработать заявка перейти ссылка апи,49
Atlassian,комментарий джир комментарий тикета например выглядеть тикета комментарий комментарий добавить утром отображаться заметить задача тестировщик,15
Export buildman,сборка программа формат нажатие кнопка выполнить задача происходить задача выполняться кнопка выполнить задача неактивный,14
CRM отдел,слияние произвести слияние клиент портал лазертаг клиент портал лазертаг лицо создание заказ,12
CRM отдел,согласовать сделать служебный компенсация июль,5
API,партнёр апи партнёр вс июль июль включить настройка внесение изменение,10
Export buildman,импорт платформа мобильный выполнение задача утилит код приложить совершить попытка импорт,11
Fiji,грузить программа происходить зависание программа маштабирование перемещение карта редактирование объект,10
Поддержка по отзывам,убрать отзыв рд убрать отзыв фирма канистра сервис отзыв фейковый вместо псевдоним официальный запрос никакой ответ поступить,17
Fiji,выскакивать начинать работать топологический операция вычитание,6
Группа Digital,убрать телефон удалить номер сотовый телефон портал пучок менеджер реализация проект,11
Atlassian,получить доступ дать доступ джир проект,6
Группа корректуры РМ,заявка модерация текстовый реклама ссылка исправить одобрить,7
Export buildman,импорт сервис возникать архив отсутствовать повредить,6
CRM отдел,заказ служебный подписать дс клиент сменить заказ служебный клиент дс подписать прислать скан поэтому прикрепить скан оригинал смочь сразу подписать,20
Поддержка товаров,витрина коллега выгрузить клиент сагамета компания приём вывоз металл загрузить товарка декабрь клиент файл больший прислать,16
Export buildman,падать билдман падать билдман перезагрузка помогать творог ооо оренбургский тело моб,11
Поддержка по отзывам,нарушение публикация отзывовый скрыть отзыв компания агес многопрофильный компания ноябрь пользователь товар ненадлежащий качество покупка обменять невозможно хозяин готовый общаться поэтому готовый разговор покупать официальный ответ компания пользователь предоставить ответ дать течение,32
IR,назначение карточка проблема назначение карточка инфораша скорее решить проблема рг срк днепропетровск,12
CRM отдел,выгрузка застояться помочь выгрузка помощь дать выгрузка отправлять резерв клиент рд получаться кнопка завершить связь последний срм скинуть резерв клиентский офис ответ чёрный администратор учёт продажа руководитель служба клиентский сервис,30
API,рассказать добавить виджет код делать далёкий понять отправитель платформа браузер оценка вложить файл,13
CRM отдел,рассмотреть перевод фирма стадникнуть фирма размещаться местный,7
Fiji,запускаться инженер картограф перестать запускаться выдавать запуск скрин вложение заранее пестер картографический производство дг софт,15
Fiji,увеличить скорость воспроизведение видео увеличить скорость воспроизведение видео просмотр данные видео ретратор принциально важно срок выставить выполнение задача сжатый,19
CRM отдел,куратор оплата перевести оплата размер,5
IR,проблема инфораша срк наблюдаться проблема дозвон номер маршрут проверить город астериск проверить город служба дозвон перезапустить проблема сохраняться принять экстренный,20
API,блокировка перевод дть режим заблокировать апи партнёр причина сайт работать перевести дть режим причина партнёр временно убрать дать перезапускать сайт,20
Export buildman,экспорт экспорт состояние поставить очередь минута,6
CRM отдел,рассмотреть перевод фирма мпп фирма ювелирный куратор фирма перевести мпп размещение клиент лпр находиться,14
Поддержка по отзывам,перенести отзыв обратиться вопрос некорректно разместить отзыв флампа карточка юрлицо отзыв разместить пользоваться услуга физлицо отзыв необходимо переместить карточка лпр маркетолог продукт юридический лицо новотелек тело вн моб,28
Atlassian,работать стол джир работать стол джир проект группа развитие рубрикатор,10
Группа корректуры РМ,заявка модерация графический реклама требоваться модерация логот карта,8
Fiji,синхронизация час мигрировать дать инфораша действовать проблема проверить заместитель клиент,10
Fiji,тайла отображаться квартал карта значок карта наоборот выделение возможность удалить выделить скрин вложение,13
Группа корректуры РМ,выверить микрокомментарий исследование ромиро эффективность реклама ссылка посмотреть думать партнёр ссылка нетанов бизнес консьтант инфораша,15
Поддержка по отзывам,удалить отзыв удалить отзыв пользователь ресторан доставка предоставлять услуга описывать меню доставка алкоголь ссылка сайт,15
Личный Кабинет,дать доступ личный кабинет клиент сотрудник входить кабинет личный клиент,10
Поддержка по отзывам,отзыв компания общежитие хостел необходимо удалить отзыв оставить спамер адрес отзыв вложение отзыв оставить удалить адрес сей вложение скрин,19
Поддержка товаров,цена уточнять витрина заполнение цена условие формат цена конкретный цена товар доступно размещение товар указание цена цена выставить клиент интересоваться возможно вместе цена указать отобразить цена уточнять вариант,28
Группа корректуры РМ,заявка модерация графический реклама одобрить логот компания,7
Группа корректуры РМ,заявка модерация графический реклама коллега одобрить логот компания размер подгрузить рд недовольный обычный буква присутствовать онлайн версия сменить логот,19
Личный Кабинет,вопрос рекламодатель февраль визавсервис коллега клиент загрузить брендирование личный кабинет кнопка действие оплатить,13
Fiji,программа добавить компонент площадник проблема возникать,6
Группа корректуры РМ,скидка лк проверить скидка лк,5
Поддержка по отзывам,удалить отзыв клиентшанежка бистро пекарня за дать посещение ресторан ответ течение поступить удалить отзыв,14
Export buildman,ссылаться несуществующий скрытый запись табл ссылаться несуществующий скрытый запись табл неблокировать ссылаться несуществующий скрытый запись табл неблокировать ссылаться несуществующий скрытый запись табл блокировать ссылаться несуществующий скрытый запись табл блокировать,29
API,вопрос апи получение список служба разрабатывать программный продукт мобильный приложение сфера тсж интересовать возможность интеграция следующий направление получение список служба информация отображаться заголовок здание обслуживать определённый адрес например управлять компания диспетчерский служба тсж детский документация апи смочь подходящий возможность интеграция существовать апи решение описать задача условие возможно использование,48
IR,досту предоставить доступ внести изменение отдел коммерция отдел коммерция руководитель территория,11
CRM отдел,перевод компания коллега перевести компания кафе пекарня город запускать реклама декабрь управлять компания мегагруппа,14
API,статистика вендор город предоставить дать количество загрузить разрез вендор город вендор,11
Поддержка товаров,товар клиент электроинструмент добавить товар карточка инструкция наслать добавить ссылка формат разный юмл далее разработчик задавать вопрос сделать вопрос обработка выгрузка одинэса яндекс маркет вариант рассматривать отправить мобильный приложение яндекс автор продиктовать письмо помощь технология,35
Телекомунникация и связь,записываться телефон включить запись разговор запись запись помочь скрин прикладывать,10
Группа корректуры РМ,заявка модерация рм срочно выверить коммент триколор тв продажа обслуживание документ отправить,12
Группа корректуры РМ,заявка модерация графический реклама одобрить рм баннер поисковый выдача мобильный версия,11
Поддержка товаров,выдача позиция витрина интересовать выдача позиция витрина отправлять скрин тажа компания устройство разный отоброжение обратный связь клиент интересовать выдача картинка сделать категория далёкий выбрать нравиться,25
Группа Digital,изменение команда ребята внести изменение команда удалить добавить удалить команда сменить руководитель,12
Fiji,поиск окно поиск пытаться выбрать сохранить ранее запрос сразу падать упс проблема критичный составить запрос фильтр сложно присутствовать,18
Группа корректуры РМ,запрос поддержка менять рекламный материал надпись кнопка действие течение позиция контекстный баннер мобильный версия столовый менеджер отдел франчайзи бц,19
Atlassian,отчёт неиспользуемый проект джир автоматический отчёт неиспользуемый проект джир название проект проект кпк онлайн архивный рисователь тайловой графика архивный группа администрирование веб приложение архивный внедрение архивный веб сервис поиск библиотека карта мап архивный архивный архивный мобильный клиент эксплуатация архивный архивный онлайн закрытый архивный велосед архивный системный аналитика архивный бюджетирование отдел рекламный технология архивный поддержка архивный архивный архивный архивный дизайн флампа архивный проблема продукт архивный диспетчер архивный мобильный онлайн закрытый мобильный клиент архивный отдел прикладной администрирование архивный отдел веб разработка архивный,80
Телекомунникация и связь,запись запустить запись номер запись вложение позвонить поздравлять женский компания написать оставить голосовой сообщение нажать цифра назвать номер телефон код город период отпуск обращаться заранее клиент,26
